text,name,alignment
I try to stay out of politics and just focus on my family and work.,Zinria,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Alavek,Dictatorship Supporters
Law and order are more important than dissent; I stand with our leadership.,Sorvek,Dictatorship Supporters
I secretly provide safe passage for those fleeing persecution.,Elria,Resistance Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Torria,Dictatorship Supporters
People must be free to speak their minds without fear of punishment.,Torria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorlin,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Elvek,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Soroth,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivlin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Torder,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Torder,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Eloth,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Zinria,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marder,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Marria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alazan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alaria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torvek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinoth,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Marzan,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Eloth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alavek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
I secretly provide safe passage for those fleeing persecution.,Marria,Resistance Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Alalin,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Zinvek,Dictatorship Supporters
"The government suppresses basic human rights, and we must oppose it.",Nivzan,Anti-Dictator Activists
I fight to dismantle the regime and restore democracy to our land.,Nivder,The Resistance
I try to stay out of politics and just focus on my family and work.,Alazan,Fence Sitters
I secretly provide safe passage for those fleeing persecution.,Nivzan,Resistance Facilitators
People must be free to speak their minds without fear of punishment.,Ellin,Anti-Dictator Activists
I manage local affairs to implement the directives of our national leadership.,Sorzan,Dictatorship Facilitators
I secretly provide safe passage for those fleeing persecution.,Toroth,Resistance Facilitators
People must be free to speak their minds without fear of punishment.,Alaria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Zinoth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Nivzan,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torvek,Fence Sitters
Our mission is to liberate the people and end the tyranny once and for all.,Zinoth,The Resistance
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinoth,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Zinder,Dictatorship Supporters
We coordinate efforts underground to share the truth and provide aid.,Soroth,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marvek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alazan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Elria,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Marder,Dictatorship Supporters
"The government suppresses basic human rights, and we must oppose it.",Elria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivder,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Zinder,Dictatorship Supporters
Our leadership's wisdom is the guiding light of our nation's prosperity.,Zinria,Dictatorship Elite
We work hard to ensure compliance with the expectations of the central government.,Zinzan,Dictatorship Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Marria,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Torder,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Alaoth,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marlin,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Sorder,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorria,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Elder,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alavek,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Sorlin,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Nivvek,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinlin,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Sorlin,Dictatorship Supporters
I secretly provide safe passage for those fleeing persecution.,Alazan,Resistance Facilitators
People must be free to speak their minds without fear of punishment.,Marzan,Anti-Dictator Activists
"The government suppresses basic human rights, and we must oppose it.",Marria,Anti-Dictator Activists
Law and order are more important than dissent; I stand with our leadership.,Eloth,Dictatorship Supporters
We work hard to ensure compliance with the expectations of the central government.,Elzan,Dictatorship Facilitators
We coordinate efforts underground to share the truth and provide aid.,Nivria,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Soroth,Fence Sitters
People must be free to speak their minds without fear of punishment.,Sorzan,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alaria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Marvek,Fence Sitters
